concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations
0	I	3605.7585270404943	4.048617972299821	3.5741706950779775	3.426143236233158	0.14802745848272764	0.04579210902367565	0.0	100000
1	you	3693.335228423105	4.0995734250160725	3.6087260990147794	3.461116235414123	0.14760985985533448	0.04415114571883494	0.0	100000
2	we	3670.1460388712567	5.099255952207572	3.7045384616652823	3.7078300092876457	-0.003291549621256055	0.0008207056121004694	0.70666	100000
3	this	4086.885400122791	4.536186904060235	3.6572278846895223	3.617133590140055	0.04009429769385333	0.011799400814374637	0.00013	100000
4	that	4102.916357801704	4.815748367632688	3.7009607769299113	3.6786665397011684	0.02229422954589704	0.005479556352506295	0.00795	100000
5	who	4105.008318520053	5.16265143633798	3.6591938971161904	3.659986168092371	-0.0007922735974814936	0.0001452678367143518	0.55873	100000
6	what	4058.4577964138107	5.164365316746746	3.751278688943414	3.7591474277787658	-0.00786874386025556	-0.002496287210307993	0.90789	100000
7	not	3713.326162674103	4.762731568723664	3.731720022171974	3.722081188334383	0.009638820221826192	0.00285556261282468	0.26453	100000
8	all	3955.6239027455526	6.5719660460138725	3.9865667791532267	3.9537113079671986	0.03285548111087088	0.0062872314585096754	0.0	100000
9	many	4417.57512882443	6.311539195056773	3.861552635367235	3.8595959925983543	0.0019566330666763096	-0.0012928597181528921	0.40181	100000
10	one	4084.172257785777	5.719708099845725	3.8409611669661556	3.8627379116861307	-0.02177674330085351	-0.00636975760944527	1.0	100000
11	two	4116.095858977682	5.706203525975632	3.8411360893182676	3.8632003418594607	-0.022064255814002447	-0.006679060049451845	1.0	100000
12	big	4869.856357517589	5.9162969275929695	3.7844302846023634	3.7873323005528867	-0.0029020196899370194	-0.0015400021452301343	0.6862	100000
13	long	4219.134025138547	6.149380299531211	4.022018890185665	4.000733527575595	0.02128536076476792	0.0031630381917577763	0.00507	100000
14	small	4589.166174535514	6.721976454009067	4.024092056255843	3.999613467630492	0.024478594161913232	0.004480460296181059	0.00103	100000
15	woman	4603.378115040787	5.758248365080196	3.8788268625583013	3.8775027231192967	0.0013241379783264	-0.0010683090347140356	0.40298	100000
16	man	4511.16365535248	6.135907856209099	3.873452967210886	3.8810513509365556	-0.007598382714571082	-0.0030720092014382624	0.93031	100000
17	person	4033.209910143778	5.641982331555824	3.828951802921173	3.8473617346260793	-0.0184099335838655	-0.005722083625298165	1.0	100000
18	fish	4114.096017283944	5.657088214903454	3.917600981045523	3.913583475416128	0.0040175064041922046	-2.4148812212948685e-05	0.09267	100000
19	bird	4489.040665849852	5.98658744591902	3.9018564881158317	3.90668228592046	-0.004825790092625993	-0.0021929762276819537	0.80039	100000
20	dog	4114.883931706663	5.299078164101012	3.7835777178688934	3.7888770875606967	-0.005299377652220735	-0.0018867845594492559	0.94729	100000
21	louse	4051.440589235413	5.448983279937636	3.7918114735404487	3.801778315281543	-0.009966841883946578	-0.002685232075131718	0.9916	100000
22	tree	4097.62035154559	5.125750747459348	3.782386891398301	3.784181534497691	-0.0017946395183310402	-0.0004178799298205	0.61287	100000
23	seed	4144.626585189405	5.889323884659512	3.8867714373071083	3.8926558565836165	-0.005884421049917092	-0.002644988559800335	0.81086	100000
24	leaf	4123.798675344147	5.96464581348252	3.9274586118573205	3.9201796014473054	0.007279005407321723	0.0005040267653816415	0.02378	100000
25	root	4393.924531294526	6.305070013334747	3.970421291227445	3.9622802190099975	0.008141076905394984	0.00012368787105606225	0.14229	100000
26	bark	4369.1620864236875	6.961426460671348	4.080294206191274	4.052587340388397	0.027706854931615066	0.005081915085954262	1e-05	100000
27	skin	4091.7570638502348	5.663768595281306	3.8299638840700814	3.816538466420952	0.013425413157930884	0.0035768436765512505	0.00046	100000
28	flesh	4516.5917559883255	5.584822294872321	3.8594312635157038	3.8657251640724897	-0.006293906890531923	-0.0030326459498128573	0.81637	100000
29	blood	4123.151729262291	5.403292065857271	3.9132593806320166	3.9274877421765164	-0.01422836628096549	-0.004161838530041455	0.99999	100000
30	bone	4139.046574679955	5.549238974829426	3.895732095222319	3.8898674727235725	0.00586463123720303	3.07042608213967e-05	0.08019	100000
31	grease	4334.860321483422	6.130288267270464	3.9461416247276873	3.9369893422514233	0.009152288037583728	0.0002991926698778576	0.07977	100000
32	egg	4462.160134256554	5.838588692685824	3.9768420724232882	3.982110852315543	-0.005268777236377823	-0.0023032932752180733	0.87961	100000
33	horn	4036.904470750703	6.01747292390059	3.950735111656792	3.947787583736771	0.0029475263265072308	0.0001659910603215135	0.28895	100000
34	tail	4246.755439511911	5.79823673093744	3.91384775331754	3.9003741821925777	0.01347356457534503	0.002440439591110034	0.02356	100000
35	feather	4214.448258019491	6.2788769538824765	3.9799083394136243	3.97244417067914	0.007464168332346432	0.000634073720152464	0.08448	100000
36	hair	4320.3824175228865	6.152300531919749	3.946527396064203	3.9447143713941015	0.0018130229782036805	-0.0006942301379753817	0.38734	100000
37	head	4562.498055928436	5.461621007579785	3.8277991249226764	3.8274099033868056	0.0003892203215080754	-0.0007807278121173166	0.47232	100000
38	ear	4151.313027531501	5.972299019024349	3.8978265662366725	3.8952868459289185	0.002539720680218446	-0.00043311401664852117	0.2369	100000
39	eye	4146.925977941202	5.165970773052494	3.818291461671054	3.8235968860527723	-0.005305426364741403	-0.001742544179926102	0.9243	100000
40	nose	4132.748942171891	5.7922874367602635	3.8840883500394696	3.8723492263467314	0.011739121142871423	0.002103947357368006	0.00597	100000
41	mouth	4560.258029032614	5.240801861454475	3.8154541197650387	3.82834095848477	-0.012886843347736682	-0.004129953039222265	0.99228	100000
42	tooth	4124.064123997103	5.3401046509302015	3.891605722256844	3.897290422901878	-0.005684695226355113	-0.0019963622422505467	0.94856	100000
43	tongue	4144.855366249503	6.0416279282362915	3.99858716592737	3.9771445178306526	0.021442645291248234	0.003690925158160802	4e-05	100000
44	claw	4408.175071888996	7.222261199221156	4.090013956273083	4.051394955725841	0.038618987159180385	0.008596515917589087	0.0	100000
45	foot	4529.534858231919	5.898508961460622	3.957016280186841	3.956897406545601	0.00011887956827951731	-0.0013398509942881475	0.49274	100000
46	knee	4121.8522143971	6.954349648807454	4.060004398350301	4.003984210338224	0.056020184602210296	0.013066795119862074	0.0	100000
47	hand	4105.28014724286	5.368499530079794	3.81653059385116	3.825141318115162	-0.008610724988476483	-0.0023715843331945045	0.99466	100000
48	belly	4563.510768391949	5.554754637201589	3.87496024613603	3.8845710833978258	-0.009610841451788994	-0.0033784231511383394	0.87719	100000
49	neck	4550.907581970876	6.071883598937852	3.9245747984338353	3.9104792091205973	0.0140955913033556	0.0023672255581372254	0.01698	100000
50	breast	4105.479006328291	5.577177677218484	3.8361072576284494	3.8256948284728614	0.010412429231302384	0.003409614518488196	0.01533	100000
51	heart	4401.876024360356	6.412660019698374	4.07759863429496	4.057334445736659	0.02026418596992536	0.004055913195830268	0.00024	100000
52	liver	4083.6877708533716	6.035397560950175	3.893426662541389	3.8947174894428556	-0.0012908259076184199	-0.001774199231150597	0.62789	100000
53	drink	4046.5275087665404	5.074682587767929	3.8755773961236653	3.8654875338788335	0.010089861707327693	0.0013712574224354018	0.00644	100000
54	eat	4575.911902955419	5.319745674631195	3.9015854558415923	3.9013617216368317	0.00022372972201367399	0.0003299142212261161	0.49201	100000
55	bite	4362.664040780495	6.145719452601033	3.9212824759244898	3.9199689055437874	0.0013135593684784177	-0.0012181211475646753	0.39817	100000
56	see	4015.395934520414	5.312933088089521	3.843839048629937	3.8422169745585384	0.0016220785355467212	9.572188354352862e-05	0.31709	100000
57	hear	3927.1065300651035	5.774080884184429	3.913464344636634	3.9265579528770953	-0.013093606100894675	-0.005141871360581547	0.99966	100000
58	know	4012.2693688093773	6.2647757409500775	3.962902897342513	3.9698514596827206	-0.006948565600536504	-0.0045115855841971145	0.74279	100000
59	sleep	4353.19692966941	6.054913427755379	4.022617033894506	4.037929789535856	-0.015312756059442968	-0.006005456536900017	0.99155	100000
60	die	4052.746551296651	5.475576090316938	3.9908180806266658	3.9778416032289807	0.012976473766998904	0.0014750731747751502	0.00018	100000
61	kill	4505.152121035942	6.290834429110369	4.037224878749614	4.029512311995175	0.007712568374468695	0.0003596303848162449	0.07026	100000
62	swim	4129.487072793322	6.908577098380741	4.081624510943844	4.074074798788281	0.007549705237506938	-0.0012916881468763852	0.19931	100000
63	fly	4275.029247810261	6.472144125054676	3.9957654202278836	3.9859296135829716	0.009835792200086981	0.0011727639902183343	0.07352	100000
64	walk	4373.291356228507	6.036071101959955	3.9439276870372932	3.941833139357649	0.002094552120427559	-0.0011084041779688524	0.35792	100000
65	come	4038.2254487414302	4.9139321058297645	3.7880994809148625	3.7670710308645154	0.0210284544120738	0.006427096431402084	0.0001	100000
66	lie	3904.9347215405774	6.552579438737733	4.022721116161428	4.025491838364339	-0.0027707255310280565	-0.003378398207853063	0.59887	100000
67	sit	4599.946549939337	6.0848513080032145	3.9740000345854654	3.9683135917709738	0.005686441678446208	-0.0005194610517103604	0.21396	100000
68	stand	4424.649498499928	6.50090085179491	4.092172153677552	4.077732175277873	0.014439983897831802	0.0015766721062382188	0.0241	100000
69	give	4379.529967848112	5.264968631832093	3.9045392682515807	3.9003449081767134	0.0041943588034992	0.0009821007995754812	0.27007	100000
70	say	4122.864122081214	5.285957415909019	3.883512397709282	3.872388218215084	0.0111241785334436	0.003722570635597537	0.09401	100000
71	sun	4099.626537355361	5.535332907503589	3.8553058317557034	3.866290108863579	-0.01098427890581696	-0.0034056774282218596	0.99897	100000
72	moon	4440.744080843384	5.9142969376302155	3.8955869969563572	3.887249085981086	0.008337914914698078	0.001049124515391075	0.05816	100000
73	star	4071.2145220312086	6.626579518078892	4.083766473048092	4.043215837262318	0.04055063555761542	0.00771868504229538	0.0	100000
74	water	4128.890314101646	4.549720949417049	3.7606786474030516	3.727447220011175	0.0332314261621976	0.009769631556602681	0.0	100000
75	rain	4456.252040776917	5.371153045150713	3.8457510585946664	3.848099669392771	-0.0023486164100459672	-0.001983413583631262	0.68318	100000
76	stone	4093.750168241816	5.487294673189725	3.828731524630874	3.822973418053509	0.005758109146525083	0.0008257144121443934	0.11272	100000
77	sand	4400.34628844033	6.298080437471802	3.9824306964969884	3.959167598933236	0.023263113246512354	0.004850917423984439	0.0	100000
78	earth	4368.058987805384	5.555525945240785	3.8391983658673987	3.848362209112603	-0.009163842105023683	-0.003157267250493722	0.92896	100000
79	cloud	4227.547922279522	6.550335103181608	3.957632682793699	3.933256019944911	0.024376656157558414	0.004739166922097777	0.00014	100000
80	smoke	4374.126604184268	6.144046431883121	3.9203750701804676	3.9058404038283117	0.014534665702783918	0.002712792781570655	0.01216	100000
81	fire	4126.524145650162	4.9489213322358845	3.7714752370254114	3.7710677627889506	0.00040747240002481045	0.00052103465222766	0.457	100000
82	ash	4196.456972647605	6.3383298945073605	4.072622786482732	4.05288581401368	0.019736967150264767	0.0032536075610242934	0.00082	100000
83	burn	4275.6299499334145	6.037227553766538	3.970566242718918	3.963602623321746	0.0069636291457602206	0.00047408231652991195	0.09435	100000
84	path	4044.69883246754	5.5850652555663345	3.853752508864281	3.8682291264500672	-0.014476612748013854	-0.004471650651865067	0.99998	100000
85	mountain	4022.378417928747	5.94174988614977	3.8581113305786117	3.851118007989044	0.006993318602358281	0.0005733542949544429	0.04189	100000
86	red	4243.797741473232	6.371682511263183	3.993840400129825	3.9740072612884205	0.01983314004810236	0.0036635865229945764	0.00207	100000
87	green	3919.8935949595675	7.285468981788309	4.23201583195443	4.180009605826465	0.05200620538980725	0.010275789736207467	0.0	100000
88	yellow	4000.5666227266165	7.156702129431924	4.124243568794444	4.080354573253468	0.043888998467304714	0.009166873645921508	0.0	100000
89	white	4446.316025082993	6.257441744992932	3.9616295188689596	3.9340421680507776	0.02758735391638403	0.006438696513024485	0.0	100000
90	black	4409.0981496600825	6.389994264907317	3.91186315511849	3.9059414414574958	0.005921711261821258	0.0005969787960557184	0.20341	100000
91	night	4042.2332804021007	5.916873675642932	3.9062428740881145	3.8942454222173444	0.011997449980675904	0.00199544302638526	0.00294	100000
92	hot	4397.469198242263	6.189415624217121	3.928018868462365	3.920152935813855	0.00786594062354616	0.000762068035159043	0.10171	100000
93	cold	4499.290867178728	6.46725043143919	4.065086681271434	4.037667553926676	0.027419130085424966	0.005000818380653679	0.0	100000
94	full	3976.180433415685	6.589777086366816	4.025638718134806	3.9885678869501273	0.03707083600153412	0.007386702920670273	0.0	100000
95	new	3971.580959000592	5.992684447112747	3.8842147819165316	3.874542339154531	0.009672449956590215	0.0012609680141420086	0.00424	100000
96	good	4374.675911626517	5.731896918209189	3.9329957539627602	3.933282398829304	-0.0002866488664636844	-0.001958217975107191	0.52442	100000
97	round	4304.707354658816	7.584994909360319	4.051581443718691	3.990544629024649	0.06103681324091191	0.013473605723579097	0.0	100000
98	dry	4499.740996379464	6.430995386946182	4.022644302569045	3.989311133043126	0.03333316346416385	0.006291764365739017	1e-05	100000
99	name	4020.680371595903	5.160204030164286	3.7911825291466417	3.7818053590126124	0.009377173119800793	0.0026484794736413696	0.01565	100000
